group_id,year,max_distance
0,1995,0.0
0,1997,137613.96289050314
0,2003,318114.0883251176
0,2004,318114.0883251176
0,2005,318114.0883251176
0,2006,318114.0883251176
0,2008,318114.0883251176
0,2009,318114.0883251176
0,2010,318114.0883251176
0,2011,318114.0883251176
0,2012,318114.0883251176
0,2013,318114.0883251176
0,2014,318114.0883251176
0,2015,318114.0883251176
0,2016,318114.0883251176
0,2017,536583.5937277576
0,2018,536583.5937277576
0,2019,536583.5937277576
0,2020,536583.5937277576
0,2021,536583.5937277576
0,2022,536583.5937277576
0,2023,536583.5937277576
0,2024,536583.5937277576
1,2005,0.0
1,2006,80992.2802237522
1,2009,226168.19433924885
1,2010,319087.6771366731
1,2011,454270.0651058163
1,2012,454270.0651058163
1,2013,454270.0651058163
1,2014,533561.0971815502
1,2015,533561.0971815502
1,2016,533561.0971815502
1,2017,533561.0971815502
1,2018,533561.0971815502
1,2019,560564.569438863
1,2020,560564.569438863
1,2021,560564.569438863
1,2022,560564.569438863
1,2023,560564.569438863
1,2024,560564.569438863
10,2011,0.0
10,2012,1371.6661731026422
10,2013,1371.6661731026422
10,2015,1371.6661731026422
10,2018,1519.4736655693875
11,2011,0.0
11,2012,14274.848256928308
11,2013,14274.848256928308
11,2014,14274.848256928308
11,2015,14274.848256928308
11,2016,15332.800661990828
11,2017,15332.800661990828
11,2018,15332.800661990828
11,2019,16849.902715998418
11,2020,16849.902715998418
11,2022,16849.902715998418
11,2023,16849.902715998418
11,2024,33045.89663794152
12,2012,0.0
12,2013,1984.16809202489
13,2012,0.0
13,2013,29242.0510963472
13,2014,29728.795388596558
13,2015,30022.383008059132
13,2016,30022.383008059132
13,2017,41751.492385610836
13,2018,41751.492385610836
13,2019,41751.492385610836
13,2022,41751.492385610836
14,2013,0.0
14,2014,2729.6610194258246
15,2011,0.0
15,2012,1.937112746341484
15,2013,1.937112746341484
15,2015,7941.542369255096
15,2017,7941.542369255096
16,2002,1212.9350245563392
16,2015,16386.259354739883
16,2020,16386.259354739883
16,2022,16386.259354739883
17,2010,0.0
17,2011,5.412664708486215
17,2015,13876.135254565832
17,2018,13876.135254565832
17,2020,13876.135254565832
17,2021,35089.719669243255
17,2022,35089.719669243255
18,2014,0.0
18,2015,50195.800094099235
18,2019,101967.431183117
18,2020,101967.431183117
18,2021,110050.25766992144
18,2022,135428.21412629428
18,2023,135428.21412629428
18,2024,135428.21412629428
19,2014,0.0
19,2015,14034.431698212717
19,2017,14034.431698212717
19,2019,19956.21229323736
19,2020,60827.6207079211
19,2021,60827.6207079211
19,2022,60827.6207079211
19,2023,60827.6207079211
19,2024,60827.6207079211
2,2005,0.0
2,2006,26375.1761713688
2,2007,51086.137024529606
2,2008,130236.8641388683
2,2009,130236.8641388683
2,2010,238264.70801786552
2,2011,238264.70801786552
2,2012,238264.70801786552
2,2013,351518.51725180406
2,2014,351518.51725180406
2,2015,351518.51725180406
2,2016,351518.51725180406
2,2017,443933.3502878763
2,2018,648319.0745886063
2,2019,874847.7567488869
2,2020,1069186.096152524
2,2021,1355468.063515357
2,2022,1355468.063515357
2,2023,1355866.1257528714
2,2024,1355897.1858458049
20,2015,0.0
20,2016,40336.63284931592
20,2017,40336.63284931592
20,2020,380994.1294695892
20,2021,380994.1294695892
20,2022,401263.8012906236
20,2023,475158.8993671884
21,2009,58.396445051462436
21,2016,1681.32350924179
22,2007,0.0
22,2016,12510.107015005024
22,2017,20368.790202904525
22,2021,20368.790202904525
